,1. open,2. high,3. low,4. close,5. volume
2023-01-27,68.8600,70.5100,68.3600,70.0800,2810636
2023-01-26,68.5100,69.4500,67.8000,69.2200,2075885
2023-01-25,68.4600,69.7000,66.9500,68.7100,2802081
2023-01-24,69.0300,70.6300,68.7100,69.6000,2590993
2023-01-23,67.3500,69.9100,66.7784,69.5200,3724076
2023-01-20,63.9600,67.8200,63.5400,66.7700,4001585
2023-01-19,61.3300,64.5000,61.3000,63.9400,2585604
2023-01-18,63.2000,63.5000,61.9900,62.0800,2610293
2023-01-17,63.9400,65.7300,63.2600,63.3300,3774703
2023-01-13,65.0000,65.5000,63.7400,65.4400,3772080
2023-01-12,66.0900,66.5200,63.6600,65.6500,5819815
2023-01-11,60.4400,66.3800,60.0750,64.9900,9219390
2023-01-10,59.1500,60.0600,58.0550,60.0000,6662990
2023-01-09,58.7900,59.9800,57.7300,58.1000,5288931
2023-01-06,59.6800,59.9400,57.8700,58.9500,5902804
2023-01-05,60.6400,62.9800,58.1400,59.0000,8850591
2023-01-04,54.1300,60.7100,53.5000,60.4900,33338528
